9:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:         30531       24453488  [Ljava.lang.Object; (java.base@21.0.6)
   2:        134237       15542480  [B (java.base@21.0.6)
   3:        125195        4006240  java.lang.String (java.base@21.0.6)
   4:         15432        2996296  java.lang.Class (java.base@21.0.6)
   5:          6885        2237864  [I (java.base@21.0.6)
   6:         51044        2041760  java.util.concurrent.ConcurrentHashMap$Node (java.base@21.0.6)
   7:         10561        1520784  java.lang.reflect.Method (java.base@21.0.6)
   8:         11972        1248304  [Ljava.util.HashMap$Node; (java.base@21.0.6)
   9:         20415        1143240  java.util.LinkedHashMap$Entry (java.base@21.0.6)
  10:         11014         969232  java.util.LinkedHashMap (java.base@21.0.6)
  11:           718         878928  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@21.0.6)
  12:         20486         819440  java.util.HashMap$Node (java.base@21.0.6)
  13:          7179         459456  kotlin.reflect.jvm.internal.impl.protobuf.SmallSortedMap$1
  14:         13179         421728  java.util.ArrayList (java.base@21.0.6)
  15:          3546         397152  java.security.Provider$Service (java.base@21.0.6)
  16:          3248         363776  java.lang.reflect.Field (java.base@21.0.6)
  17:         21780         348480  java.lang.Object (java.base@21.0.6)
  18:          5011         320704  java.lang.invoke.MemberName (java.base@21.0.6)
  19:          7951         318040  java.security.Provider$ServiceKey (java.base@21.0.6)
  20:          2790         312480  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Type
  21:          9429         310136  [Ljava.lang.Class; (java.base@21.0.6)
  22:          3127         300192  io.netty.buffer.PoolSubpage
  23:          6643         265720  java.util.Hashtable$Entry (java.base@21.0.6)
  24:          1697         244368  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Function
  25:          3979         222824  java.lang.ref.SoftReference (java.base@21.0.6)
  26:          3680         206080  io.netty.util.internal.shaded.org.jctools.queues.unpadded.MpscUnpaddedArrayQueue
  27:          4096         196608  com.aerospike.client.query.PartitionStatus
  28:          3011         192704  java.lang.invoke.MethodType (java.base@21.0.6)
  29:          2242         190056  [Ljava.lang.String; (java.base@21.0.6)
  30:          2922         187008  java.util.HashMap (java.base@21.0.6)
  31:          4316         172640  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@21.0.6)
  32:          1798         172608  java.util.concurrent.ConcurrentHashMap (java.base@21.0.6)
  33:          7179         172296  kotlin.reflect.jvm.internal.impl.protobuf.FieldSet
  34:          3448         165504  java.lang.invoke.LambdaForm$Name (java.base@21.0.6)
  35:          6746         161904  java.util.jar.Attributes (java.base@21.0.6)
  36:          4884         156288  kotlin.reflect.jvm.internal.ReflectProperties$LazySoftVal
  37:           538         155544  [C (java.base@21.0.6)
  38:          4770         152640  java.util.Collections$UnmodifiableRandomAccessList (java.base@21.0.6)
  39:           257         152144  io.netty.util.internal.shaded.org.jctools.queues.MpscChunkedArrayQueue
  40:          3021         145008  jdk.internal.util.WeakReferenceKey (java.base@21.0.6)
  41:          3588         143520  io.netty.buffer.PoolThreadCache$SubPageMemoryRegionCache
  42:          8821         141136  java.lang.Integer (java.base@21.0.6)
  43:           136         140904  [Lio.netty.handler.codec.http2.HpackHeaderField;
  44:          1164         139680  java.lang.reflect.Constructor (java.base@21.0.6)
  45:          4236         135552  io.netty.util.Recycler$DefaultHandle
  46:          2092         133888  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@21.0.6)
  47:          1261         131144  java.lang.Class$ReflectionData (java.base@21.0.6)
  48:          1091         128352  [J (java.base@21.0.6)
  49:          1091         122192  io.netty.buffer.PooledUnsafeDirectByteBuf
  50:          1481         118480  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$ValueParameter
  51:            16         117984  [Ljava.util.Hashtable$Entry; (java.base@21.0.6)
  52:           719         116816  [Ljava.util.WeakHashMap$Entry; (java.base@21.0.6)
  53:          3584         114688  com.aerospike.client.async.HashedWheelTimer$HashedWheelBucket
  54:           846         111672  [Ljava.lang.ref.SoftReference; (java.base@21.0.6)
  55:            94         111584  [Lio.netty.buffer.PoolSubpage;
  56:          1694         108416  java.util.WeakHashMap$Entry (java.base@21.0.6)
  57:          3236         103552  java.lang.invoke.ResolvedMethodName (java.base@21.0.6)
  58:          2588         103520  io.netty.util.AsciiString
  59:          2011          96528  io.netty.buffer.PoolThreadCache$MemoryRegionCache$Entry
  60:          2373          94920  kotlin.SafePublicationLazyImpl
  61:          3900          93600  java.util.concurrent.locks.ReentrantLock (java.base@21.0.6)
  62:           890          92520  [Ljava.lang.reflect.Method; (java.base@21.0.6)
  63:          1176          84672  java.lang.invoke.DirectMethodHandle$Constructor (java.base@21.0.6)
  64:          1688          81024  kotlin.reflect.jvm.internal.impl.name.FqNameUnsafe
  65:           765          79560  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Annotation$Argument$Value
  66:           583          79288  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Property
  67:           889          78232  io.netty.channel.ChannelOutboundBuffer$Entry
  68:          1944          77760  kotlin.reflect.jvm.internal.impl.storage.LockBasedStorageManager$LockBasedNotNullLazyValue
  69:           338          75712  io.netty.channel.epoll.EpollSocketChannel
  70:           358          74464  kotlin.reflect.jvm.internal.impl.serialization.deserialization.descriptors.DeserializedSimpleFunctionDescriptor
  71:           124          72416  io.netty.util.internal.shaded.org.jctools.queues.MpscUnboundedArrayQueue
  72:           698          67656  [Ljava.lang.invoke.LambdaForm$Name; (java.base@21.0.6)
  73:          1188          66528  java.lang.invoke.DirectMethodHandle (java.base@21.0.6)
  74:          1159          64904  io.netty.handler.codec.http2.HpackEncoder$NameValueEntry
  75:          2693          64632  kotlin.reflect.jvm.internal.impl.name.Name
  76:           261          62640  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Class
  77:          1807          57824  kotlin.reflect.jvm.internal.impl.name.FqName
  78:          1424          56960  com.google.inject.Key
  79:           885          56640  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@21.0.6)
  80:          1725          55200  java.security.Provider$UString (java.base@21.0.6)
  81:          1369          54760  sun.reflect.annotation.AnnotationInvocationHandler (java.base@21.0.6)
  82:           201          54424  [Ljava.lang.ClassValue$Entry; (java.base@21.0.6)
  83:          1334          53360  kotlin.reflect.jvm.internal.impl.protobuf.SmallSortedMap$Entry
  84:          2198          52752  kotlin.reflect.jvm.internal.impl.protobuf.SmallSortedMap$EntrySet
  85:           142          52392  [Ljava.lang.invoke.MethodHandle; (java.base@21.0.6)
  86:          1072          51456  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Annotation
  87:          1608          51456  sun.reflect.generics.tree.SimpleClassTypeSignature (java.base@21.0.6)
  88:          1063          51024  sun.util.locale.BaseLocale (java.base@21.0.6)
  89:           579          50952  kotlin.reflect.jvm.internal.impl.metadata.jvm.JvmProtoBuf$StringTableTypes$Record
  90:          1251          50040  java.net.InetAddress$InetAddressHolder (java.base@21.0.6)
  91:           693          49896  java.lang.invoke.LambdaForm (java.base@21.0.6)
  92:           428          47936  java.net.URL (java.base@21.0.6)
  93:          1187          47480  com.google.inject.spi.Dependency
  94:           388          46560  com.google.common.cache.LocalCache$Segment
  95:          1439          46048  com.google.inject.TypeLiteral
  96:          1063          42520  java.util.Locale (java.base@21.0.6)
  97:           661          42304  java.lang.reflect.Parameter (java.base@21.0.6)
  98:           878          42144  java.lang.ref.ReferenceQueue (java.base@21.0.6)
  99:          1044          41760  sun.util.locale.BaseLocale$Key (java.base@21.0.6)
 100:            11          41296  [Ljava.nio.ByteBuffer; (java.base@21.0.6)
